INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3059	12520	50	-1	6441	50	-1	328	99	-1	328	99	-1	328	99	-1	328	99	-1	6	1095	50	50	1090	50	50	12	1095	50	50	1090	50	50	12	-1	-1	1230	410	10	-1	-1	-1	-1	662	108	304	353	464	10	21	-1	-1	-1	-1	-1	74	74	74	74	-1	-1	-1	-1	-1	-1
3060	12641	50	-1	6503	50	-1	330	100	-1	330	100	-1	330	100	-1	330	100	-1	6	1106	50	50	1101	50	50	12	1106	50	50	1101	50	50	12	-1	-1	1242	414	10	-1	-1	-1	-1	675	110	310	360	473	10	22	-1	-1	-1	-1	-1	75	75	75	75	-1	-1	-1	-1	-1	-1
3061	12761	50	-1	6565	50	-1	332	101	-1	332	101	-1	332	101	-1	332	101	-1	6	1116	50	50	1111	50	50	12	1116	50	50	1111	50	50	12	-1	-1	1254	418	10	-1	-1	-1	-1	688	112	316	367	482	10	22	-1	-1	-1	-1	-1	76	76	76	76	-1	-1	-1	-1	-1	-1
3062	12882	50	-1	6627	50	-1	334	102	-1	334	102	-1	334	102	-1	334	102	-1	6	1127	50	50	1122	50	50	12	1127	50	50	1122	50	50	12	-1	-1	1266	422	10	-1	-1	-1	-1	701	114	322	374	491	10	22	-1	-1	-1	-1	-1	77	77	77	77	-1	-1	-1	-1	-1	-1
3063	13002	50	-1	6689	50	-1	336	103	-1	336	103	-1	336	103	-1	336	103	-1	6	1138	50	50	1133	50	50	12	1138	50	50	1133	50	50	12	-1	-1	1278	426	10	-1	-1	-1	-1	714	116	328	381	500	10	23	-1	-1	-1	-1	-1	78	78	78	78	-1	-1	-1	-1	-1	-1
3064	13123	50	-1	6751	50	-1	338	104	-1	338	104	-1	338	104	-1	338	104	-1	6	1148	50	50	1143	50	50	12	1148	50	50	1143	50	50	12	-1	-1	1290	430	10	-1	-1	-1	-1	727	118	334	388	509	10	23	-1	-1	-1	-1	-1	79	79	79	79	-1	-1	-1	-1	-1	-1
3065	13243	50	-1	6813	50	-1	340	105	-1	340	105	-1	340	105	-1	340	105	-1	6	1159	50	50	1154	50	50	12	1159	50	50	1154	50	50	12	-1	-1	1302	434	11	-1	-1	-1	-1	740	120	340	395	518	11	23	-1	-1	-1	-1	-1	80	80	80	80	-1	-1	-1	-1	-1	-1
3066	13364	50	-1	6875	50	-1	342	106	-1	342	106	-1	342	106	-1	342	106	-1	6	1170	50	50	1165	50	50	12	1170	50	50	1165	50	50	12	-1	-1	1314	438	11	-1	-1	-1	-1	753	122	346	402	527	11	24	-1	-1	-1	-1	-1	81	81	81	81	-1	-1	-1	-1	-1	-1
3067	13484	50	-1	6937	50	-1	344	107	-1	344	107	-1	344	107	-1	344	107	-1	7	1180	50	50	1175	50	50	12	1180	50	50	1175	50	50	12	-1	-1	1326	442	11	-1	-1	-1	-1	766	124	352	409	536	11	24	-1	-1	-1	-1	-1	82	82	82	82	-1	-1	-1	-1	-1	-1
3068	13605	50	-1	6999	50	-1	346	108	-1	346	108	-1	346	108	-1	346	108	-1	7	1191	50	50	1186	50	50	13	1191	50	50	1186	50	50	13	-1	-1	1338	446	11	-1	-1	-1	-1	779	126	358	416	545	11	25	-1	-1	-1	-1	-1	83	83	83	83	-1	-1	-1	-1	-1	-1
3069	13725	50	-1	7060	50	-1	348	109	-1	348	109	-1	348	109	-1	348	109	-1	7	1202	50	50	1197	50	50	13	1202	50	50	1197	50	50	13	-1	-1	1350	450	11	-1	-1	-1	-1	792	128	364	423	554	11	25	-1	-1	-1	-1	-1	84	84	84	84	-1	-1	-1	-1	-1	-1
3070	13846	50	-1	7122	50	-1	350	110	-1	350	110	-1	350	110	-1	350	110	-1	7	1212	50	50	1207	50	50	13	1212	50	50	1207	50	50	13	-1	-1	1362	454	12	-1	-1	-1	-1	805	130	370	430	563	12	25	-1	-1	-1	-1	-1	85	85	85	85	-1	-1	-1	-1	-1	-1
3071	13966	50	-1	7184	50	-1	352	111	-1	352	111	-1	352	111	-1	352	111	-1	7	1223	50	50	1218	50	50	13	1223	50	50	1218	50	50	13	-1	-1	1374	458	12	-1	-1	-1	-1	818	132	376	437	572	12	26	-1	-1	-1	-1	-1	86	86	86	86	-1	-1	-1	-1	-1	-1
3072	14087	50	-1	7246	50	-1	354	112	-1	354	112	-1	354	112	-1	354	112	-1	7	1234	50	50	1228	50	50	13	1234	50	50	1228	50	50	13	-1	-1	1386	462	12	-1	-1	-1	-1	831	134	382	444	581	12	26	-1	-1	-1	-1	-1	87	87	87	87	-1	-1	-1	-1	-1	-1
3073	14207	50	-1	7308	50	-1	356	113	-1	356	113	-1	356	113	-1	356	113	-1	7	1244	50	50	1239	50	50	13	1244	50	50	1239	50	50	13	-1	-1	1398	466	12	-1	-1	-1	-1	844	136	388	451	590	12	26	-1	-1	-1	-1	-1	88	88	88	88	-1	-1	-1	-1	-1	-1
3074	14328	50	-1	7370	50	-1	358	114	-1	358	114	-1	358	114	-1	358	114	-1	7	1255	50	50	1250	50	50	13	1255	50	50	1250	50	50	13	-1	-1	1410	470	12	-1	-1	-1	-1	857	138	394	458	599	12	27	-1	-1	-1	-1	-1	89	89	89	89	-1	-1	-1	-1	-1	-1
3075	14448	50	-1	7432	50	-1	360	115	-1	360	115	-1	360	115	-1	360	115	-1	7	1265	50	50	1260	50	50	13	1265	50	50	1260	50	50	13	-1	-1	1422	474	13	-1	-1	-1	-1	870	140	400	465	608	13	27	-1	-1	-1	-1	-1	90	90	90	90	-1	-1	-1	-1	-1	-1
3076	14569	50	-1	7494	50	-1	362	116	-1	362	116	-1	362	116	-1	362	116	-1	7	1276	50	50	1271	50	50	13	1276	50	50	1271	50	50	13	-1	-1	1434	478	13	-1	-1	-1	-1	883	142	406	472	617	13	28	-1	-1	-1	-1	-1	91	91	91	91	-1	-1	-1	-1	-1	-1
3077	14689	50	-1	7556	50	-1	364	117	-1	364	117	-1	364	117	-1	364	117	-1	7	1287	50	50	1282	50	50	14	1287	50	50	1282	50	50	14	-1	-1	1446	482	13	-1	-1	-1	-1	896	144	412	479	626	13	28	-1	-1	-1	-1	-1	92	92	92	92	-1	-1	-1	-1	-1	-1
3078	14810	50	-1	7618	50	-1	366	118	-1	366	118	-1	366	118	-1	366	118	-1	7	1297	50	50	1292	50	50	14	1297	50	50	1292	50	50	14	-1	-1	1458	486	13	-1	-1	-1	-1	909	146	418	486	635	13	28	-1	-1	-1	-1	-1	93	93	93	93	-1	-1	-1	-1	-1	-1
3079	14930	50	-1	7679	50	-1	368	119	-1	368	119	-1	368	119	-1	368	119	-1	7	1308	50	50	1303	50	50	14	1308	50	50	1303	50	50	14	-1	-1	1470	490	13	-1	-1	-1	-1	922	148	424	493	644	13	29	-1	-1	-1	-1	-1	94	94	94	94	-1	-1	-1	-1	-1	-1
3080	15051	50	-1	7741	50	-1	370	120	-1	370	120	-1	370	120	-1	370	120	-1	7	1319	50	50	1314	50	50	14	1319	50	50	1314	50	50	14	-1	-1	1482	494	14	-1	-1	-1	-1	935	150	430	500	653	14	29	-1	-1	-1	-1	-1	95	95	95	95	-1	-1	-1	-1	-1	-1
3081	15171	50	-1	7803	50	-1	372	121	-1	372	121	-1	372	121	-1	372	121	-1	7	1329	50	50	1324	50	50	14	1329	50	50	1324	50	50	14	-1	-1	1494	498	14	-1	-1	-1	-1	948	152	436	507	662	14	30	-1	-1	-1	-1	-1	96	96	96	96	-1	-1	-1	-1	-1	-1
3082	15292	50	-1	7865	50	-1	374	122	-1	374	122	-1	374	122	-1	374	122	-1	7	1340	50	50	1335	50	50	14	1340	50	50	1335	50	50	14	-1	-1	1506	502	14	-1	-1	-1	-1	961	154	442	514	671	14	30	-1	-1	-1	-1	-1	97	97	97	97	-1	-1	-1	-1	-1	-1
3083	15412	50	-1	7927	50	-1	376	123	-1	376	123	-1	376	123	-1	376	123	-1	7	1351	50	50	1346	50	50	14	1351	50	50	1346	50	50	14	-1	-1	1518	506	14	-1	-1	-1	-1	974	156	448	521	680	14	30	-1	-1	-1	-1	-1	98	98	98	98	-1	-1	-1	-1	-1	-1
3084	15533	50	-1	7989	50	-1	378	124	-1	378	124	-1	378	124	-1	378	124	-1	7	1361	50	50	1356	50	50	14	1361	50	50	1356	50	50	14	-1	-1	1530	510	14	-1	-1	-1	-1	987	158	454	528	689	14	31	-1	-1	-1	-1	-1	99	99	99	99	-1	-1	-1	-1	-1	-1
3085	15653	50	-1	8051	50	-1	380	125	-1	380	125	-1	380	125	-1	380	125	-1	7	1372	50	50	1367	50	50	14	1372	50	50	1367	50	50	14	-1	-1	1542	514	15	-1	-1	-1	-1	1000	160	460	535	698	15	31	-1	-1	-1	-1	-1	100	100	100	100	-1	-1	-1	-1	-1	-1
3086	15774	50	-1	8113	50	-1	382	126	-1	382	126	-1	382	126	-1	382	126	-1	7	1383	50	50	1378	50	50	14	1383	50	50	1378	50	50	14	-1	-1	1554	518	15	-1	-1	-1	-1	1013	162	466	542	707	15	32	-1	-1	-1	-1	-1	101	101	101	101	-1	-1	-1	-1	-1	-1
3087	15894	50	-1	8175	50	-1	384	127	-1	384	127	-1	384	127	-1	384	127	-1	7	1393	50	50	1388	50	50	14	1393	50	50	1388	50	50	14	-1	-1	1566	522	15	-1	-1	-1	-1	1026	164	472	549	716	15	32	-1	-1	-1	-1	-1	102	102	102	102	-1	-1	-1	-1	-1	-1
3088	16015	50	-1	8237	50	-1	386	128	-1	386	128	-1	386	128	-1	386	128	-1	7	1404	50	50	1399	50	50	14	1404	50	50	1399	50	50	14	-1	-1	1578	526	15	-1	-1	-1	-1	1039	166	478	556	725	15	33	-1	-1	-1	-1	-1	103	103	103	103	-1	-1	-1	-1	-1	-1
3089	16135	50	-1	8298	50	-1	388	129	-1	388	129	-1	388	129	-1	388	129	-1	7	1415	50	50	1409	50	50	14	1415	50	50	1409	50	50	14	-1	-1	1590	530	15	-1	-1	-1	-1	1052	168	484	563	734	15	33	-1	-1	-1	-1	-1	104	104	104	104	-1	-1	-1	-1	-1	-1
3090	16256	50	-1	8360	50	-1	390	130	-1	390	130	-1	390	130	-1	390	130	-1	7	1425	50	50	1420	50	50	14	1425	50	50	1420	50	50	14	-1	-1	1602	534	16	-1	-1	-1	-1	1065	170	490	570	743	16	33	-1	-1	-1	-1	-1	105	105	105	105	-1	-1	-1	-1	-1	-1
3091	16376	50	-1	8422	50	-1	392	131	-1	392	131	-1	392	131	-1	392	131	-1	7	1436	50	50	1431	50	50	14	1436	50	50	1431	50	50	14	-1	-1	1614	538	16	-1	-1	-1	-1	1078	172	496	577	752	16	34	-1	-1	-1	-1	-1	106	106	106	106	-1	-1	-1	-1	-1	-1
3092	16497	50	-1	8484	50	-1	394	132	-1	394	132	-1	394	132	-1	394	132	-1	7	1446	50	50	1441	50	50	14	1446	50	50	1441	50	50	14	-1	-1	1626	542	16	-1	-1	-1	-1	1091	174	502	584	761	16	34	-1	-1	-1	-1	-1	107	107	107	107	-1	-1	-1	-1	-1	-1
3093	16617	50	-1	8546	50	-1	396	133	-1	396	133	-1	396	133	-1	396	133	-1	7	1457	50	50	1452	50	50	14	1457	50	50	1452	50	50	14	-1	-1	1638	546	16	-1	-1	-1	-1	1104	176	508	591	770	16	35	-1	-1	-1	-1	-1	108	108	108	108	-1	-1	-1	-1	-1	-1
3094	16738	50	-1	8608	50	-1	398	134	-1	398	134	-1	398	134	-1	398	134	-1	7	1468	50	50	1463	50	50	14	1468	50	50	1463	50	50	14	-1	-1	1650	550	17	-1	-1	-1	-1	1117	178	514	598	779	17	35	-1	-1	-1	-1	-1	109	109	109	109	-1	-1	-1	-1	-1	-1
3095	16858	50	-1	8670	50	-1	400	135	-1	400	135	-1	400	135	-1	400	135	-1	7	1478	50	50	1473	50	50	14	1478	50	50	1473	50	50	14	-1	-1	1662	554	17	-1	-1	-1	-1	1130	180	520	605	788	17	36	-1	-1	-1	-1	-1	110	110	110	110	-1	-1	-1	-1	-1	-1
3096	16979	50	-1	8732	50	-1	402	136	-1	402	136	-1	402	136	-1	402	136	-1	7	1489	50	50	1484	50	50	14	1489	50	50	1484	50	50	14	-1	-1	1674	558	17	-1	-1	-1	-1	1143	182	526	612	797	17	36	-1	-1	-1	-1	-1	111	111	111	111	-1	-1	-1	-1	-1	-1
3097	17099	50	-1	8794	50	-1	404	137	-1	404	137	-1	404	137	-1	404	137	-1	7	1500	50	50	1495	50	50	14	1500	50	50	1495	50	50	14	-1	-1	1686	562	17	-1	-1	-1	-1	1156	184	532	619	806	17	37	-1	-1	-1	-1	-1	112	112	112	112	-1	-1	-1	-1	-1	-1
3098	17220	50	-1	8856	50	-1	406	138	-1	406	138	-1	406	138	-1	406	138	-1	7	1510	50	50	1505	50	50	14	1510	50	50	1505	50	50	14	-1	-1	1698	566	17	-1	-1	-1	-1	1169	186	538	626	815	17	37	-1	-1	-1	-1	-1	113	113	113	113	-1	-1	-1	-1	-1	-1
3099	17340	50	-1	8917	50	-1	408	139	-1	408	139	-1	408	139	-1	408	139	-1	7	1521	50	50	1516	50	50	14	1521	50	50	1516	50	50	14	-1	-1	1710	570	18	-1	-1	-1	-1	1182	188	544	633	824	18	38	-1	-1	-1	-1	-1	114	114	114	114	-1	-1	-1	-1	-1	-1
3100	17461	50	-1	8979	50	-1	410	140	-1	410	140	-1	410	140	-1	410	140	-1	7	1532	50	50	1527	50	50	14	1532	50	50	1527	50	50	14	-1	-1	1722	574	18	-1	-1	-1	-1	1195	190	550	640	833	18	38	-1	-1	-1	-1	-1	115	115	115	115	-1	-1	-1	-1	-1	-1
3101	17581	50	-1	9041	50	-1	412	141	-1	412	141	-1	412	141	-1	412	141	-1	7	1542	50	50	1537	50	50	14	1542	50	50	1537	50	50	14	-1	-1	1734	578	18	-1	-1	-1	-1	1208	192	556	647	842	18	39	-1	-1	-1	-1	-1	116	116	116	116	-1	-1	-1	-1	-1	-1
3102	17702	50	-1	9103	50	-1	414	142	-1	414	142	-1	414	142	-1	414	142	-1	7	1553	50	50	1548	50	50	14	1553	50	50	1548	50	50	14	-1	-1	1746	582	18	-1	-1	-1	-1	1221	194	562	654	851	18	39	-1	-1	-1	-1	-1	117	117	117	117	-1	-1	-1	-1	-1	-1
3103	17822	50	-1	9165	50	-1	416	143	-1	416	143	-1	416	143	-1	416	143	-1	7	1564	50	50	1559	50	50	14	1564	50	50	1559	50	50	14	-1	-1	1758	586	19	-1	-1	-1	-1	1234	196	568	661	860	19	39	-1	-1	-1	-1	-1	118	118	118	118	-1	-1	-1	-1	-1	-1
3104	17943	50	-1	9227	50	-1	418	144	-1	418	144	-1	418	144	-1	418	144	-1	7	1574	50	50	1569	50	50	14	1574	50	50	1569	50	50	14	-1	-1	1770	590	19	-1	-1	-1	-1	1247	198	574	668	869	19	40	-1	-1	-1	-1	-1	119	119	119	119	-1	-1	-1	-1	-1	-1
3105	18063	50	-1	9289	50	-1	420	145	-1	420	145	-1	420	145	-1	420	145	-1	7	1585	50	50	1580	50	50	14	1585	50	50	1580	50	50	14	-1	-1	1782	594	19	-1	-1	-1	-1	1260	200	580	675	878	19	40	-1	-1	-1	-1	-1	120	120	120	120	-1	-1	-1	-1	-1	-1
3106	18184	50	-1	9351	50	-1	422	146	-1	422	146	-1	422	146	-1	422	146	-1	7	1596	50	50	1590	50	50	14	1596	50	50	1590	50	50	14	-1	-1	1794	598	19	-1	-1	-1	-1	1273	202	586	682	887	19	41	-1	-1	-1	-1	-1	121	121	121	121	-1	-1	-1	-1	-1	-1
3107	18304	50	-1	9413	50	-1	424	147	-1	424	147	-1	424	147	-1	424	147	-1	7	1606	50	50	1601	50	50	14	1606	50	50	1601	50	50	14	-1	-1	1806	602	20	-1	-1	-1	-1	1286	204	592	689	896	20	41	-1	-1	-1	-1	-1	122	122	122	122	-1	-1	-1	-1	-1	-1
3108	18425	50	-1	9475	50	-1	426	148	-1	426	148	-1	426	148	-1	426	148	-1	7	1617	50	50	1612	50	50	14	1617	50	50	1612	50	50	14	-1	-1	1818	606	20	-1	-1	-1	-1	1299	206	598	696	905	20	42	-1	-1	-1	-1	-1	123	123	123	123	-1	-1	-1	-1	-1	-1
3109	18545	50	-1	9536	50	-1	428	149	-1	428	149	-1	428	149	-1	428	149	-1	7	1627	50	50	1622	50	50	14	1627	50	50	1622	50	50	14	-1	-1	1830	610	20	-1	-1	-1	-1	1312	208	604	703	914	20	42	-1	-1	-1	-1	-1	124	124	124	124	-1	-1	-1	-1	-1	-1
3110	6616	50	-1	3408	50	-1	230	50	-1	230	50	-1	230	50	-1	230	50	-1	4	573	50	50	568	50	50	6	573	50	50	568	50	50	6	-1	-1	642	214	6	-1	-1	-1	-1	10	25	10	10	23	6	11	-1	-1	-1	-1	-1	25	25	25	25	-1	-1	-1	-1	-1	-1
3111	6736	50	-1	3470	50	-1	232	51	-1	232	51	-1	232	51	-1	232	51	-1	4	584	50	50	579	50	50	6	584	50	50	579	50	50	6	-1	-1	654	218	6	-1	-1	-1	-1	12	38	16	17	32	6	12	-1	-1	-1	-1	-1	26	26	26	26	-1	-1	-1	-1	-1	-1
3112	6857	50	-1	3532	50	-1	234	52	-1	234	52	-1	234	52	-1	234	52	-1	4	595	50	50	590	50	50	6	595	50	50	590	50	50	6	-1	-1	666	222	6	-1	-1	-1	-1	14	51	22	24	41	6	12	-1	-1	-1	-1	-1	27	27	27	27	-1	-1	-1	-1	-1	-1
3113	6977	50	-1	3594	50	-1	236	53	-1	236	53	-1	236	53	-1	236	53	-1	4	605	50	50	600	50	50	7	605	50	50	600	50	50	7	-1	-1	678	226	6	-1	-1	-1	-1	16	64	28	31	50	6	12	-1	-1	-1	-1	-1	28	28	28	28	-1	-1	-1	-1	-1	-1
3114	7098	50	-1	3656	50	-1	238	54	-1	238	54	-1	238	54	-1	238	54	-1	4	616	50	50	611	50	50	7	616	50	50	611	50	50	7	-1	-1	690	230	6	-1	-1	-1	-1	18	77	34	38	59	6	12	-1	-1	-1	-1	-1	29	29	29	29	-1	-1	-1	-1	-1	-1
3115	7218	50	-1	3718	50	-1	240	55	-1	240	55	-1	240	55	-1	240	55	-1	4	627	50	50	622	50	50	7	627	50	50	622	50	50	7	-1	-1	702	234	6	-1	-1	-1	-1	20	90	40	45	68	6	12	-1	-1	-1	-1	-1	30	30	30	30	-1	-1	-1	-1	-1	-1
3116	7339	50	-1	3780	50	-1	242	56	-1	242	56	-1	242	56	-1	242	56	-1	4	637	50	50	632	50	50	7	637	50	50	632	50	50	7	-1	-1	714	238	6	-1	-1	-1	-1	22	103	46	52	77	6	13	-1	-1	-1	-1	-1	31	31	31	31	-1	-1	-1	-1	-1	-1
3117	7459	50	-1	3842	50	-1	244	57	-1	244	57	-1	244	57	-1	244	57	-1	4	648	50	50	643	50	50	7	648	50	50	643	50	50	7	-1	-1	726	242	6	-1	-1	-1	-1	24	116	52	59	86	6	13	-1	-1	-1	-1	-1	32	32	32	32	-1	-1	-1	-1	-1	-1
3118	7580	50	-1	3904	50	-1	246	58	-1	246	58	-1	246	58	-1	246	58	-1	4	659	50	50	654	50	50	7	659	50	50	654	50	50	7	-1	-1	738	246	6	-1	-1	-1	-1	26	129	58	66	95	6	13	-1	-1	-1	-1	-1	33	33	33	33	-1	-1	-1	-1	-1	-1
3119	7700	50	-1	3965	50	-1	248	59	-1	248	59	-1	248	59	-1	248	59	-1	4	669	50	50	664	50	50	7	669	50	50	664	50	50	7	-1	-1	750	250	6	-1	-1	-1	-1	28	142	64	73	104	6	13	-1	-1	-1	-1	-1	34	34	34	34	-1	-1	-1	-1	-1	-1
3120	7821	50	-1	4027	50	-1	250	60	-1	250	60	-1	250	60	-1	250	60	-1	4	680	50	50	675	50	50	7	680	50	50	675	50	50	7	-1	-1	762	254	6	-1	-1	-1	-1	30	155	70	80	113	6	13	-1	-1	-1	-1	-1	35	35	35	35	-1	-1	-1	-1	-1	-1
3121	7941	50	-1	4089	50	-1	252	61	-1	252	61	-1	252	61	-1	252	61	-1	4	691	50	50	685	50	50	7	691	50	50	685	50	50	7	-1	-1	774	258	7	-1	-1	-1	-1	32	168	76	87	122	7	14	-1	-1	-1	-1	-1	36	36	36	36	-1	-1	-1	-1	-1	-1
3122	8062	50	-1	4151	50	-1	254	62	-1	254	62	-1	254	62	-1	254	62	-1	4	701	50	50	696	50	50	7	701	50	50	696	50	50	7	-1	-1	786	262	7	-1	-1	-1	-1	34	181	82	94	131	7	14	-1	-1	-1	-1	-1	37	37	37	37	-1	-1	-1	-1	-1	-1
3123	8182	50	-1	4213	50	-1	256	63	-1	256	63	-1	256	63	-1	256	63	-1	4	712	50	50	707	50	50	8	712	50	50	707	50	50	8	-1	-1	798	266	7	-1	-1	-1	-1	36	194	88	101	140	7	14	-1	-1	-1	-1	-1	38	38	38	38	-1	-1	-1	-1	-1	-1
3124	8303	50	-1	4275	50	-1	258	64	-1	258	64	-1	258	64	-1	258	64	-1	4	722	50	50	717	50	50	8	722	50	50	717	50	50	8	-1	-1	810	270	7	-1	-1	-1	-1	38	207	94	108	149	7	14	-1	-1	-1	-1	-1	39	39	39	39	-1	-1	-1	-1	-1	-1
3125	8423	50	-1	4337	50	-1	260	65	-1	260	65	-1	260	65	-1	260	65	-1	4	733	50	50	728	50	50	8	733	50	50	728	50	50	8	-1	-1	822	274	7	-1	-1	-1	-1	40	220	100	115	158	7	14	-1	-1	-1	-1	-1	40	40	40	40	-1	-1	-1	-1	-1	-1
3126	8544	50	-1	4399	50	-1	262	66	-1	262	66	-1	262	66	-1	262	66	-1	4	744	50	50	739	50	50	8	744	50	50	739	50	50	8	-1	-1	834	278	7	-1	-1	-1	-1	42	233	106	122	167	7	15	-1	-1	-1	-1	-1	41	41	41	41	-1	-1	-1	-1	-1	-1
3127	8664	50	-1	4461	50	-1	264	67	-1	264	67	-1	264	67	-1	264	67	-1	4	754	50	50	749	50	50	8	754	50	50	749	50	50	8	-1	-1	846	282	7	-1	-1	-1	-1	44	246	112	129	176	7	15	-1	-1	-1	-1	-1	42	42	42	42	-1	-1	-1	-1	-1	-1
3128	8785	50	-1	4523	50	-1	266	68	-1	266	68	-1	266	68	-1	266	68	-1	5	765	50	50	760	50	50	8	765	50	50	760	50	50	8	-1	-1	858	286	7	-1	-1	-1	-1	46	259	118	136	185	7	15	-1	-1	-1	-1	-1	43	43	43	43	-1	-1	-1	-1	-1	-1
3129	8905	50	-1	4584	50	-1	268	69	-1	268	69	-1	268	69	-1	268	69	-1	5	776	50	50	771	50	50	8	776	50	50	771	50	50	8	-1	-1	870	290	7	-1	-1	-1	-1	48	272	124	143	194	7	15	-1	-1	-1	-1	-1	44	44	44	44	-1	-1	-1	-1	-1	-1
3130	9026	50	-1	4646	50	-1	270	70	-1	270	70	-1	270	70	-1	270	70	-1	5	786	50	50	781	50	50	8	786	50	50	781	50	50	8	-1	-1	882	294	7	-1	-1	-1	-1	50	285	130	150	203	7	15	-1	-1	-1	-1	-1	45	45	45	45	-1	-1	-1	-1	-1	-1
3131	9146	50	-1	4708	50	-1	272	71	-1	272	71	-1	272	71	-1	272	71	-1	5	797	50	50	792	50	50	8	797	50	50	792	50	50	8	-1	-1	894	298	7	-1	-1	-1	-1	52	298	136	157	212	7	16	-1	-1	-1	-1	-1	46	46	46	46	-1	-1	-1	-1	-1	-1
3132	9267	50	-1	4770	50	-1	274	72	-1	274	72	-1	274	72	-1	274	72	-1	5	808	50	50	803	50	50	9	808	50	50	803	50	50	9	-1	-1	906	302	7	-1	-1	-1	-1	54	311	142	164	221	7	16	-1	-1	-1	-1	-1	47	47	47	47	-1	-1	-1	-1	-1	-1
3133	9387	50	-1	4832	50	-1	276	73	-1	276	73	-1	276	73	-1	276	73	-1	5	818	50	50	813	50	50	9	818	50	50	813	50	50	9	-1	-1	918	306	8	-1	-1	-1	-1	56	324	148	171	230	8	16	-1	-1	-1	-1	-1	48	48	48	48	-1	-1	-1	-1	-1	-1
3134	9508	50	-1	4894	50	-1	278	74	-1	278	74	-1	278	74	-1	278	74	-1	5	829	50	50	824	50	50	9	829	50	50	824	50	50	9	-1	-1	930	310	8	-1	-1	-1	-1	58	337	154	178	239	8	16	-1	-1	-1	-1	-1	49	49	49	49	-1	-1	-1	-1	-1	-1
3135	9628	50	-1	4956	50	-1	280	75	-1	280	75	-1	280	75	-1	280	75	-1	5	840	50	50	835	50	50	9	840	50	50	835	50	50	9	-1	-1	942	314	8	-1	-1	-1	-1	60	350	160	185	248	8	16	-1	-1	-1	-1	-1	50	50	50	50	-1	-1	-1	-1	-1	-1
3136	9749	50	-1	5018	50	-1	282	76	-1	282	76	-1	282	76	-1	282	76	-1	5	850	50	50	845	50	50	9	850	50	50	845	50	50	9	-1	-1	954	318	8	-1	-1	-1	-1	62	363	166	192	257	8	17	-1	-1	-1	-1	-1	51	51	51	51	-1	-1	-1	-1	-1	-1
3137	9869	50	-1	5080	50	-1	284	77	-1	284	77	-1	284	77	-1	284	77	-1	5	861	50	50	856	50	50	9	861	50	50	856	50	50	9	-1	-1	966	322	8	-1	-1	-1	-1	64	376	172	199	266	8	17	-1	-1	-1	-1	-1	52	52	52	52	-1	-1	-1	-1	-1	-1
3138	9990	50	-1	5142	50	-1	286	78	-1	286	78	-1	286	78	-1	286	78	-1	5	872	50	50	866	50	50	9	872	50	50	866	50	50	9	-1	-1	978	326	8	-1	-1	-1	-1	66	389	178	206	275	8	17	-1	-1	-1	-1	-1	53	53	53	53	-1	-1	-1	-1	-1	-1
3139	10110	50	-1	5203	50	-1	288	79	-1	288	79	-1	288	79	-1	288	79	-1	5	882	50	50	877	50	50	9	882	50	50	877	50	50	9	-1	-1	990	330	8	-1	-1	-1	-1	68	402	184	213	284	8	17	-1	-1	-1	-1	-1	54	54	54	54	-1	-1	-1	-1	-1	-1
3140	10231	50	-1	5265	50	-1	290	80	-1	290	80	-1	290	80	-1	290	80	-1	5	893	50	50	888	50	50	9	893	50	50	888	50	50	9	-1	-1	1002	334	8	-1	-1	-1	-1	70	415	190	220	293	8	17	-1	-1	-1	-1	-1	55	55	55	55	-1	-1	-1	-1	-1	-1
3141	10351	50	-1	5327	50	-1	292	81	-1	292	81	-1	292	81	-1	292	81	-1	5	903	50	50	898	50	50	10	903	50	50	898	50	50	10	-1	-1	1014	338	8	-1	-1	-1	-1	72	428	196	227	302	8	18	-1	-1	-1	-1	-1	56	56	56	56	-1	-1	-1	-1	-1	-1
3142	10472	50	-1	5389	50	-1	294	82	-1	294	82	-1	294	82	-1	294	82	-1	5	914	50	50	909	50	50	10	914	50	50	909	50	50	10	-1	-1	1026	342	8	-1	-1	-1	-1	74	441	202	234	311	8	18	-1	-1	-1	-1	-1	57	57	57	57	-1	-1	-1	-1	-1	-1
3143	10592	50	-1	5451	50	-1	296	83	-1	296	83	-1	296	83	-1	296	83	-1	5	925	50	50	920	50	50	10	925	50	50	920	50	50	10	-1	-1	1038	346	8	-1	-1	-1	-1	76	454	208	241	320	8	18	-1	-1	-1	-1	-1	58	58	58	58	-1	-1	-1	-1	-1	-1
3144	10713	50	-1	5513	50	-1	298	84	-1	298	84	-1	298	84	-1	298	84	-1	5	935	50	50	930	50	50	10	935	50	50	930	50	50	10	-1	-1	1050	350	8	-1	-1	-1	-1	78	467	214	248	329	8	18	-1	-1	-1	-1	-1	59	59	59	59	-1	-1	-1	-1	-1	-1
